image_name,count,img_size
baip/compiler:nvhpc-slurm-pmi-spack,483,1996487548
wn1980/hpc-box-cuda12-dev:latest,437,15872929299
neijsvogel/hpc:no_mpi_lib,417,736610028
abeltre1/hpccg-mpi:iteration,399,681220792
abeltre1/hpccg-mpi:latest,399,242018072
abeltre1/hpccg-mpi:metal,399,242018048
metsi/amanzi-tpls:0.98.8c-mpich,397,2201779423
billalmasum93/hpc:pycuda-tensorrt-python37,371,15140405400
billalmasum93/hpc:pycuda-tensorrt-python38,371,15154512040
billalmasum93/hpc:pycuda-tensorrt-python39,371,15150857793
neijsvogel/hpc:no_mpi,370,706739547
metsi/amanzi-tpls:0.98.8c-mpich-amd64,363,2168488525
metsi/amanzi-tpls:0.98.8c-mpich-arm64,363,2083327560
billalmasum93/hpc:pycuda-tensorrt-python310,346,14987473444
hpcaitech/cuda-conda:12.1,316,10310223546
hpcaitech/pytorch-cuda:2.1.0-12.1.0,304,20723599692
hpc4cmb/sohpc-mpich:0.1.3,260,2069736846
hpc4cmb/sohpc-openmpi:0.1.3,260,2033472581
hpc4cmb/cmbenv-mpich:1.3.5,252,1969161484
hpc4cmb/cmbenv-mpich:1.3.6,252,1958049742
hpc4cmb/cmbenv-openmpi:1.3.5,252,1932897372
hpc4cmb/cmbenv-openmpi:1.3.6,252,1921785478
hpc4cmb/sohpc-mpich:0.1.4,249,2144520301
hpc4cmb/sohpc-mpich:latest,249,2144520301
hpc4cmb/sohpc-openmpi:0.1.4,249,2108246393
hpc4cmb/sohpc-openmpi:latest,249,2108246393
hpc4cmb/cmbenv-mpich:1.3.7,241,1960770715
hpc4cmb/cmbenv-mpich:1.3.8,241,1966705123
hpc4cmb/cmbenv-mpich:latest,241,1966705123
hpc4cmb/cmbenv-openmpi:1.3.7,241,1924496807
hpc4cmb/cmbenv-openmpi:1.3.8,241,1930442315
hpc4cmb/cmbenv-openmpi:latest,241,1930442315
mfaverge/hpclib-hiepacs-openmpi:latest,176,
tenmadjarin/hpc:cudadocker,153,240308348
baip/compiler:aocc-slurm-pmi-spack,149,920644950
pugetsystems/hpcg-amd:0.1.0,147,217378003
pugetsystems/hpcg-amd:0.1.1,147,228367009
baip/compiler:intel-spack,143,6093411974
aaarti/cuda11.8.0-cudnn8-py3.10:1,129,3871920201
afeldman/hpc:openmpi,107,170251709
hpczone/kuard-amd64:1,83,22938886
