image_name,count,img_size
taccwma/frontera-portal:75777bb,4266,1489781750
taccwma/frontera-portal:aeb06be,4266,1489783575
taccsciapps/gatk:latest,4260,573335148
taccwma/tapis-project-org:144a7d2,4183,1541810160
taccwma/tapis-project-org:06058da,4183,1541810087
taccwma/tapis-project-org:1289d38,4183,1541815238
taccaci/alignem-swiftng-dev:0.0.8u1,4144,9159007471
nriveira/colginlab:latest,4090,7854172283
taccwma/cyber-range-cms:latest,4085,1400365051
taccwma/cyber-range-cms:1bcf7ac,4085,1400365051
tacc/reactors:0.8.0,4064,1171267534
asun88/tacc-maverick-ml2:latest,4060,10200382585
tacchang/centos7_apache24_python3:latest,4057,658334001
taccwma/cyber-range:b365761,4036,1832540420
taccwma/cyber-range:455e925,4036,1832540420
tacc/ga4gh-repo:latest,4004,759624246
taccsciapps/jupyteruser-sd2e:latest,3997,
taccsciapps/jupyteruser-tacc:0.1.0,3997,
taccsciapps/jupyteruser-tacc:latest,3997,
gcurbelo/tacc-default-desc:dev,3955,1883466650
taccwma/cyber-range:b15ab6f,3950,1848177048
tacc/dipnet_sl_tf_server:v1,3944,3006651159
nathanfranklin/tacc-qgis:release-2.18.27,3916,1281336292
tacc/clients-api:latest,3910,638685595
tacc/apim-migrations:latest,3882,630648314
tacc/apim-migrations:1.5.0,3882,630648314
tacc/apim-migrations:dev,3882,633691868
tacc/reactors:latest,3875,1169176036
tacc/reactors:python3,3875,1169176036
tacc/reactors:python3.7,3875,1169176036
taccwma/cyber-range:d4c34f4,3871,1862600014
tacc/reactors:python3.6,3871,1167992816
tacc/shade_webui:v1,3871,1492559715
sd2e/tacc-ml-jupyter:centos7-cuda10-tf2.1-pt1.3-tr4.2.1,3854,5846374592
taccwma/cyber-range:latest,3829,1862600014
tacc/hello-world:latest,3827,899652481
tacc/diplomacy_webui:latest,3803,1509175934
sd2e/tacc-ml-jupyter:ppc64le-centos7-cuda10-tf1.15-pt1.2,3793,8753824505
taccwma/frontera-docs:dc08437,3742,1021696241
taccwma/frontera-docs:latest,3742,1021735375
taccwma/frontera-docs:ef20b45,3742,1021735375
taccwma/frontera-docs:latest-master,3740,1024408331
taccwma/frontera-docs:development,3740,1024407859
asun88/tacc-singularity-maverick:gpr,3738,42952218689
tacc/apim:dev,3733,2058412051
tacc/apim:1.3.0,3733,2058412051
tacc/apim:1.4.0,3729,2058412051
taccsciapps/jupyter-pyspark-ds:latest,3707,
tacc/profiles-api:latest,3698,635602019
tacc/clients-api:1.3.0,3696,692841771
tacc/clients-api:1.4.0,3696,692841771
tacc/agave_id_dedicated:0.2,3691,607575374
tacc/agave_id_dedicated:0.2.0,3691,607575329
tacc/agave_id_dedicated:latest,3691,607575329
taccdash/showusthedata-api:d0b749c6,3689,974287064
taccdash/showusthedata-api:main,3689,974287170
taccdash/showusthedata-api:dev,3689,974286676
taccdash/showusthedata-api:production,3689,974287092
taccdash/showusthedata-api:2316a342,3689,974287092
tacc/auth-service-base:latest,3682,593838810
tacc/auth-service-base:dev,3682,593838810
asun88/tacc-singularity-maverick:0705,3661,19549685363
tacc/agave_id:dev,3659,611284939
tacc/agave_id:latest,3659,611284957
tacc/apim:1.5.0-rc1,3646,2073128616
tacc/apim:1.5.0,3646,2073128616
asun88/tacc-singularity-maverick:torch,3643,28606684016
taccsciapps/jupyteruser-sd2e:0.1.0,3638,
taccsciapps/jupyteruser-sd2e:0.2.0,3638,
taccsciapps/jupyteruser-sd2e:0.2.1,3638,
taccwma/protx-portal:ea75242,3624,2040413449
taccwma/protx-portal:1932517,3624,2040406315
taccwma/protx-portal:1f84071,3624,1944599572
snovotney/tacc-pytorch:latest,3615,6247958110
asun88/tacc-singularity-maverick:latest,3611,6590153602
gzynda/tacc-maverick-ml:latest,3608,6235679840
gzynda/tacc-maverick-ml:0.0.1,3608,6235679840
tacca/hello_express:latest,3580,937718194
taccaci/designsafe-duvd-matlab:19a,3564,1501836632
inosirov/tacc:latest,3563,6921375095
taccsciapps/ds-cuda-workshop:1.0.1,3554,6077483444
taccsciapps/ds-cuda-workshop:latest,3554,6077484320
tacc/profiles-api:1.3.0,3533,682468037
tacc/profiles-api:1.4.0,3533,682468037
taccaci/designsafe-duvd-matlab:20a,3527,1562430164
tacc/clients-api:1.5.0-rc1,3522,702781150
tacc/clients-api:1.5.0,3522,702781150
taccwma/tup-cms:latest,3509,1262439709
taccwma/tup-cms:c481c53,3487,1265162606
taccwma/neuronex-cms:4ed782d,3487,1264916313
taccwma/tup-cms:066f0a3,3487,1263076512
taccwma/tup-cms:4ed782d,3487,1264909566
tacc/tapis-cli:latest,3459,1280690931
taccsciapps/jupyteruser-tc:1.1.0,3458,10451089191
taccwma/protx-portal:af40d8d,3457,2040489344
taccsciapps/jupyteruser-tc:1.0.0,3454,10470801380
