image_name,count,img_size
hpc2se/pacxx-ci:ubuntu-16.04,1341,1939213299
hpccbuilds/vcpkg-centos-8:dfadc914,1236,1813872393
hpccbuilds/vcpkg-centos-8:fe903b58,1236,4061710846
hpccbuilds/vcpkg-centos-8:348818ae,1223,4068252319
hpccbuilds/vcpkg-centos-8:8.12-rc2,1223,4068252319
hpccbuilds/vcpkg-centos-8:latest,1223,4068252319
hpccsystems/platform-build-base-centos-8:hpcc-platform-8.12.x,1222,5910384923
hpccsystems/platform-build-centos-8:candidate-8.12.x,1222,5917852749
hpccsystems/platform-build-centos-8:candidate-9.0.x,1222,5915360682
hpccsystems/platform-build-base-centos-8:hpcc-platform-9.4.x,1219,10514091943
hpccsystems/platform-build-centos-8:candidate-9.4.x,1219,10514055922
nckucch/ubuntubase:10.0,1215,7993643343
nckucch/ubuntubase:8.0,1215,7316859609
hpccbuilds/build-ubuntu-18.04:community_8.12.0-rc4,1157,4539759055
hpccbuilds/build-ubuntu-18.04:community_8.12.0-test-rc125,1157,4539759867
hpccbuilds/build-ubuntu-18.04:community_8.12.0-test-rc126,1157,4539759867
hpccbuilds/build-ubuntu-18.04:community_8.12.0-test-rc127,1157,4539759867
hpccbuilds/build-ubuntu-18.04:latest,1157,4539759055
hpccbuilds/vcpkg-ubuntu-18.04:dfadc914,1132,1653108856
hpccbuilds/vcpkg-ubuntu-18.04:fe903b58,1132,3768574683
hpccbuilds/vcpkg-ubuntu-18.04:348818ae,1076,3768668202
hpccbuilds/vcpkg-ubuntu-18.04:8.12-rc2,1076,3768668202
hpccbuilds/vcpkg-ubuntu-18.04:latest,1076,3768668202
hpcsc/gocd-agent-dind:gocd-18.2.0-ubuntu-16.04-docker-17.12,1062,687862285
ashesfall/iwfm-base:1403-ubuntu20.04,1052,12137820793
memeoru/hpcc-build-base:ubuntu1804,1018,2381264320
hpccsystems/platform-build-vcpkg-centos-8:962b4a7a,982,8552798832
hpccsystems/platform-build-vcpkg-centos-8:hpcc-platform-9.4.x,982,8552798832
hpccbuilds/build-ubuntu-22.04:community_8.12.0-rc4,955,3708506919
hpccbuilds/build-ubuntu-22.04:community_8.12.0-test-rc125,955,3602967694
hpccbuilds/build-ubuntu-22.04:community_8.12.0-test-rc126,955,3602967694
hpccbuilds/build-ubuntu-22.04:community_8.12.0-test-rc127,955,3602967694
hpccbuilds/build-ubuntu-22.04:latest,955,3708506919
haavasl/saga_repo_test:ubuntu_latest,935,1255463683
hpccsystems/platform-build-base-ubuntu-18.04:0f23bd9a,925,3799777356
